pre_root_id	post_root_id	neuropil	syn_count	nt_type
720575940628211499	720575940625875504	GNG	19	GABA
720575940631463272	720575940624441884	AVLP_R	11	ACH
720575940610962069	720575940623100341	AVLP_R	25	ACH
720575940626804757	720575940618366843	AVLP_L	27	ACH
720575940628896168	720575940630075703	MB_VL_L	43	GLUT
720575940612531921	720575940622728157	LA_R	11	ACH
720575940626748072	720575940614320571	LAL_R	6	ACH
720575940624377224	720575940611047446	AVLP_R	25	GABA
720575940638128474	720575940624366323	AL_L	5	GABA
720575940606149321	720575940641706184	AVLP_R	11	GABA
720575940606850434	720575940645304430	MB_VL_L	16	ACH
720575940611059609	720575940610964946	MB_ML_L	6	ACH
720575940620015201	720575940625251401	AL_L	11	ACH
720575940619846310	720575940607667723	GA_L	1	GLUT
720575940623528925	720575940631423116	AL_L	18	ACH
720575940606666953	720575940613583001	MB_VL_R	8	ACH
720575940624508563	720575940615538177	AVLP_R	15	ACH
720575940620321217	720575940635239672	SMP_L	13	GLUT
720575940615650022	720575940616502175	EB	4	GABA
720575940620041125	720575940613583001	MB_PED_R	4	ACH
720575940628694019	720575940617720577	LAL_L	17	GLUT
720575940629776502	720575940636768734	AVLP_L	11	ACH
720575940632795532	720575940641606541	AL_L	5	GABA
720575940613441689	720575940610708430	PRW	37	ACH
720575940623901415	720575940617699414	AVLP_R	159	ACH
720575940637197119	720575940637406942	SMP_L	5	ACH
720575940637317053	720575940637515182	CRE_L	25	ACH
720575940628360506	720575940622708518	SMP_R	7	GABA
720575940645386884	720575940613583001	MB_ML_R	6	ACH
720575940638776227	720575940627094696	SIP_R	11	ACH
720575940631011328	720575940643234760	CRE_R	6	GABA
720575940628668009	720575940624289789	GNG	49	ACH
720575940610741880	720575940635937678	LAL_R	5	ACH
720575940628385546	720575940624547622	MB_ML_L	10	ACH
720575940613738415	720575940613583001	MB_ML_R	7	ACH
720575940627253604	720575940623229564	CRE_L	5	GABA
720575940612139443	720575940646310947	SMP_R	23	GLUT
720575940630302551	720575940630396790	AVLP_R	16	SER
720575940629111490	720575940613943215	GNG	26	GABA
720575940626803279	720575940625934094	CRE_R	2	ACH
720575940632994274	720575940625499914	AVLP_R	11	ACH
720575940611930481	720575940614684822	SMP_L	4	ACH
720575940632416298	720575940618308825	AL_L	82	GABA
720575940621033808	720575940643576224	LAL_R	26	GABA
720575940621589887	720575940644615716	SMP_L	3	ACH
720575940624942855	720575940619134789	SIP_R	5	GLUT
720575940620464321	720575940623905719	CRE_R	9	GLUT
720575940661329281	720575940617073113	AVLP_R	9	ACH
720575940637210334	720575940635540671	LAL_R	23	ACH
720575940643915300	720575940612869269	EB	5	GABA
720575940634939034	720575940628783363	CRE_R	1	ACH
720575940631710715	720575940626804757	AVLP_L	5	ACH
720575940612281586	720575940615750562	CRE_R	24	GLUT
720575940638608803	720575940621736669	PRW	37	DA
720575940636792494	720575940628831482	MB_ML_L	2	DA
720575940639339829	720575940610173048	GNG	35	ACH
720575940633816857	720575940624590316	MB_ML_L	30	DA
720575940614175742	720575940615922875	AVLP_R	19	GLUT
720575940659611777	720575940627690246	AL_L	36	ACH
720575940625188741	720575940658297985	AVLP_L	61	ACH
720575940621773406	720575940627594568	CRE_L	3	GLUT
720575940637130985	720575940615495839	PRW	14	ACH
720575940639067108	720575940611379569	AL_L	11	SER
720575940628865644	720575940617362772	AVLP_R	21	GABA
720575940627920719	720575940639961653	AOTU_R	8	ACH
720575940646068020	720575940615413435	LAL_L	9	DA
720575940603747616	720575940613583001	MB_VL_R	9	ACH
720575940616762585	720575940624280328	SMP_R	5	ACH
720575940638559440	720575940612284569	AL_L	14	GLUT
720575940641886605	720575940622151704	SMP_L	6	ACH
720575940632501404	720575940612677142	CRE_L	8	ACH
720575940628634536	720575940622281904	LAL_R	72	GABA
720575940624791184	720575940621640363	AVLP_L	40	ACH
720575940630620207	720575940620672432	PRW	3	ACH
720575940634244191	720575940604569824	AVLP_R	16	ACH
720575940622205505	720575940624310468	SMP_R	8	ACH
720575940620952779	720575940633660386	CRE_L	4	ACH
720575940606102729	720575940631487047	EB	34	GABA
720575940615677533	720575940621689727	AVLP_R	37	ACH
720575940621665263	720575940627673585	SMP_L	31	GABA
720575940621268830	720575940612869269	GA_L	14	GLUT
720575940619451989	720575940619453831	PRW	9	GABA
720575940614082962	720575940639776088	SLP_R	8	ACH
720575940644928547	720575940627841795	CRE_L	6	ACH
720575940630244763	720575940631705130	CRE_L	5	ACH
720575940624973831	720575940630673572	AVLP_R	43	ACH
720575940625718053	720575940625502666	LAL_R	7	ACH
720575940605876866	720575940619072158	LAL_R	21	GABA
720575940614772383	720575940613583001	MB_VL_R	13	ACH
720575940634854554	720575940623121643	AVLP_L	10	GABA
720575940638778165	720575940612284569	AL_L	36	ACH
720575940622140109	720575940649004921	GA_L	3	GLUT
720575940632270561	720575940627068772	CRE_L	5	GABA
720575940647436835	720575940624377224	AVLP_R	165	GABA
720575940627578385	720575940623387786	SMP_L	15	GLUT
720575940630506358	720575940626111619	CRE_R	2	ACH
720575940625251401	720575940620015201	AL_L	5	GABA
720575940626911262	720575940628783363	MB_VL_R	4	ACH
720575940617226141	720575940626717573	LAL_L	38	GLUT
720575940629335115	720575940639697827	MB_VL_R	9	ACH
720575940628599934	720575940626569018	AOTU_L	1	ACH
720575940622273868	720575940625960360	FLA_L	14	GLUT
720575940632723660	720575940623231527	PRW	7	ACH
720575940626024323	720575940623525770	CRE_R	2	ACH
720575940616328517	720575940611964882	EB	8	GABA
720575940608662318	720575940621554112	AVLP_R	25	ACH
720575940612704802	720575940615669972	AL_L	8	SER
720575940631267655	720575940631626315	AVLP_R	5	ACH
720575940630631736	720575940613727382	LAL_R	13	ACH
720575940612993941	720575940619829333	AVLP_R	12	ACH
720575940621828443	720575940637200503	SMP_L	21	ACH
720575940634854554	720575940628214887	AVLP_L	14	GABA
720575940604569824	720575940619708507	AVLP_R	34	GABA
720575940612993941	720575940631842360	AVLP_R	42	ACH
720575940637013349	720575940654057889	PRW	22	ACH
720575940609913042	720575940609425874	PRW	5	ACH
720575940627604977	720575940652336801	AVLP_R	68	GLUT
720575940606149321	720575940622519773	AVLP_R	8	GABA
720575940623069001	720575940633556644	CRE_L	23	ACH
720575940632028216	720575940632281927	GNG	26	GABA
720575940623788040	720575940627690246	AL_L	107	SER
720575940611300323	720575940618366843	AVLP_L	16	ACH
720575940613583001	720575940618980299	MB_ML_R	7	GABA
720575940612916114	720575940625233445	EB	28	GABA
720575940624528068	720575940633304601	PRW	6	SER
720575940617036352	720575940624547622	MB_ML_L	13	ACH
720575940619652033	720575940647036980	PRW	23	ACH
720575940619755758	720575940616941201	AVLP_R	36	ACH
720575940611630194	720575940616014092	GNG	18	ACH
720575940639071716	720575940606684774	PVLP_R	1	ACH
720575940622023262	720575940617749538	MB_PED_R	8	ACH
720575940623027274	720575940613475557	AVLP_R	29	GABA
720575940631153194	720575940628007683	AVLP_R	16	ACH
720575940634785983	720575940627203461	CRE_R	22	GLUT
720575940637064926	720575940632807193	AVLP_R	42	ACH
720575940618784109	720575940618045776	AVLP_R	7	GABA
720575940624469444	720575940615101747	GA_R	7	GLUT
720575940627589126	720575940617952034	SMP_R	20	ACH
720575940639278399	720575940617483860	EB	20	GABA
720575940622618867	720575940617257985	AVLP_R	85	ACH
720575940618492224	720575940624547622	SMP_L	2	ACH
720575940607763467	720575940613583001	MB_PED_R	9	ACH
720575940610962069	720575940627848196	AVLP_R	61	ACH
720575940643949934	720575940652922529	AOTU_R	13	ACH
720575940620812353	720575940631572305	SMP_R	5	ACH
720575940625401018	720575940614684822	CRE_L	6	GABA
720575940644053796	720575940613904638	AOTU_R	10	ACH
720575940613635737	720575940628455942	CRE_R	15	OCT
